"","keywords","day","display","click","cost","ctr","avg_day_display"
"1","曼谷短租房",31,956,140,267.03,14.64,31
"2","芭堤雅酒店房价",31,624,95,159.97,15.22,20
"3","清迈短租房",31,574,89,156.76,15.51,19
"4","泰国短租房",31,589,70,122.04,11.88,19
"5","东京民宿推荐",31,338,56,112.5,16.57,11
"6","北京住百家",29,276,50,279.85,18.12,10
"7","首尔短租房",31,339,44,95.03,12.98,11
"8","泰国曼谷租房",31,416,42,67.24,10.1,13
"9","台北短租房",31,324,41,68.44,12.65,10
"10","新加坡短租公寓",31,292,36,54.64,12.33,9
"11","米兰酒店网上预订",30,183,35,78.68,19.13,6
"12","大阪酒店网上预订",28,134,32,65.07,23.88,5
"13","订威尼斯酒店",31,272,30,120.99,11.03,9
"14","泰国酒店网上预订",31,270,29,59.47,10.74,9
"15","泰国别墅短租",24,94,26,44.15,27.66,4
"16","曼谷酒店网上预订",29,236,25,48.47,10.59,8
"17","新加坡公寓短租",30,193,24,50.48,12.44,6
"18","住百家网站",27,123,24,96.32,19.51,5
"19","海外日租别墅",31,198,23,44.2,11.62,6
"20","深圳住百家",25,92,23,152.71,25,4
"21","普吉岛短租公寓",31,187,22,47.27,11.76,6
"22","泰国短租别墅",28,112,19,23.53,16.96,4
"23","住百家官网",4,89,19,21.96,21.35,22
"24","芭堤雅短租房",22,87,18,28.6,20.69,4
"25","大阪民宿推荐",30,173,18,39.33,10.4,6
"26","普吉岛民宿别墅",28,147,17,33.7,11.56,5
"27","普吉岛民宿推荐",29,128,15,32.82,11.72,4
"28","普吉岛别墅短租",25,51,14,28.31,27.45,2
"29","清迈短租别墅",23,60,14,27.71,23.33,3
"30","大阪民宿预订",28,83,13,25.55,15.66,3
"31","曼谷公寓短租",26,84,13,26.41,15.48,3
"32","泰国短租公寓",24,82,13,26.18,15.85,3
"33","曼谷酒店别墅",29,120,12,20.85,10,4
"34","普吉岛树屋",27,115,12,24.26,10.43,4
"35","普吉短租房",27,109,12,23.27,11.01,4
"36","预订台北民宿",29,105,11,23.88,10.48,4
"37","曼谷短租公寓",22,83,10,17.39,12.05,4
"38","芭提雅短租房",16,45,9,15.97,20,3
"39","订东京民宿",19,53,9,22.48,16.98,3
"40","国外民宿旅游",19,36,9,13.32,25,2
"41","芭提雅住宿攻略",23,71,8,6.37,11.27,3
"42","巴厘岛酒店网上预订",28,75,8,15.48,10.67,3
"43","订京都酒店",24,41,8,14.27,19.51,2
"44","曼谷优惠酒店",25,54,8,16.46,14.81,2
"45","泰国公寓短租",21,39,8,14.78,20.51,2
"46","威尼斯酒店网上预订",13,28,8,46.28,28.57,2
"47","订大阪酒店",24,58,7,11.93,12.07,2
"48","订米兰酒店",19,39,7,34.67,17.95,2
"49","京都特价酒店",23,53,7,16.27,13.21,2
"50","普吉短租别墅",22,42,7,13.01,16.67,2
"51","新加坡优惠酒店",29,60,7,10.5,11.67,2
"52","大阪便宜酒店",20,47,6,10.82,12.77,2
"53","济州岛酒店推荐",25,55,6,12.95,10.91,2
"54","普吉岛优惠酒店",21,34,6,11.23,17.65,2
"55","大阪特色民宿",17,26,5,9.58,19.23,2
"56","订芭堤雅酒店",19,34,5,10.59,14.71,2
"57","订济州岛酒店",22,50,5,11.48,10,2
"58","国外公寓短租房",15,25,5,5.85,20,2
"59","罗马公寓短租",13,32,5,11.2,15.62,2
"60","首尔便宜酒店",17,33,5,11.33,15.15,2
"61","台北酒店在线预订",14,23,5,10.39,21.74,2
"62","住百家房东",13,30,5,7.06,16.67,2
"63","巴厘岛民宿推荐",16,26,4,8.28,15.38,2
"64","佛罗伦萨短租房",13,28,4,8.55,14.29,2
"65","釜山住宿推荐",14,19,4,8.82,21.05,1
"66","海外短租公寓",21,34,4,9.24,11.76,2
"67","济州岛酒店网上预订",17,32,4,9.2,12.5,2
"68","洛杉矶便宜酒店",14,32,4,9.14,12.5,2
"69","洛杉矶民宿推荐",18,31,4,10.48,12.9,2
"70","普吉岛短租别墅",20,35,4,7.74,11.43,2
"71","普吉岛公寓短租",13,15,4,8.64,26.67,1
"72","苏梅岛短租房",6,8,4,6.18,50,1
"73","苏梅岛特价酒店",14,19,4,9.24,21.05,1
"74","新加坡特色民宿",14,19,4,5.92,21.05,1
"75","巴厘岛住宿预订",13,29,3,5.94,10.34,2
"76","订大阪民宿",11,12,3,5.94,25,1
"77","佛罗伦萨旅游酒店",16,26,3,26.11,11.54,2
"78","韩国公寓短租",13,23,3,5.43,13.04,2
"79","京都优惠酒店",12,19,3,6.38,15.79,2
"80","境外公寓长租",10,16,3,4.37,18.75,2
"81","境外日租别墅",10,20,3,6.7,15,2
"82","普吉岛特色民宿",18,30,3,8.77,10,2
"83","清迈酒店网上预订",19,30,3,7.53,10,2
"84","清迈民宿酒店",16,28,3,6.61,10.71,2
"85","日本民宿别墅",6,8,3,6.43,37.5,1
"86","首尔酒店网上预订",17,29,3,6.93,10.34,2
"87","泰国民宿 酒店",16,24,3,6.67,12.5,2
"88","威尼斯公寓短租",3,8,3,6.21,37.5,3
"89","威尼斯酒店民宿",12,21,3,5.57,14.29,2
"90","住百家电话",5,12,3,2.99,25,2
"91","芭堤雅民宿推荐",9,18,2,5.08,11.11,2
"92","巴厘岛民宿酒店",6,9,2,3.74,22.22,2
"93","大阪短租公寓",10,20,2,4.26,10,2
"94","大阪民宿 酒店",9,9,2,4.5,22.22,1
"95","大阪民宿 预定",8,12,2,5.2,16.67,2
"96","海外短租住宿",9,12,2,3.75,16.67,1
"97","济州岛民宿酒店",6,9,2,3.18,22.22,2
"98","济州岛民宿预定",13,19,2,4.08,10.53,1
"99","境外便宜酒店",12,14,2,2.19,14.29,1
"100","哪订泰国酒店便宜",11,13,2,4.29,15.38,1
"101","普吉别墅短租",10,14,2,4.71,14.29,1
"102","普吉岛酒店民宿",8,8,2,4.25,25,1
"103","清迈民宿别墅",9,11,2,4.6,18.18,1
"104","苏梅岛旅游 度假酒店",7,12,2,3.9,16.67,2
"105","台北酒店民宿",15,18,2,4.33,11.11,1
"106","台北民宿 酒店",8,13,2,4.6,15.38,2
"107","在线预定日本酒店",11,15,2,5.4,13.33,1
"108","住百家旅游",8,10,2,3.76,20,1
"109","芭堤雅酒店网上预订",9,10,1,2.26,10,1
"110","芭提雅住宿推荐",8,8,1,1.71,12.5,1
"111","巴厘岛住宿推荐别墅",8,10,1,1.8,10,1
"112","巴黎酒店在线预订",8,9,1,2.39,11.11,1
"113","釜山民宿推荐",3,7,1,1.86,14.29,2
"114","国外酒店短租",7,10,1,1.67,10,1
"115","海外住百家",6,8,1,1.67,12.5,1
"116","济州岛公寓短租",3,9,1,2,11.11,3
"117","济州岛旅游酒店预订",3,8,1,1.97,12.5,3
"118","京都酒店民宿",10,10,1,2.47,10,1
"119","曼谷酒店在线预订",6,8,1,1.59,12.5,1
"120","曼谷民宿酒店",7,9,1,2.6,11.11,1
"121","哪儿订日本酒店便宜",7,7,1,1.74,14.29,1
"122","哪个订曼谷酒店便宜",6,7,1,1.38,14.29,1
"123","普吉岛酒店在线预订",6,8,1,2.6,12.5,1
"124","普吉岛民宿预订",7,9,1,2,11.11,1
"125","普吉民宿别墅",7,9,1,2.16,11.11,1
"126","清迈酒店民宿",7,10,1,2.53,10,1
"127","清迈旅游 酒店",5,8,1,1.49,12.5,2
"128","日本优惠酒店",6,8,1,2.28,12.5,1
"129","深圳住百家发展股份有限公司",7,9,1,0.62,11.11,1
"130","苏梅岛短租别墅",2,7,1,3.33,14.29,4
"131","苏梅岛民宿推荐",6,8,1,2.55,12.5,1
"132","台北打折酒店",8,9,1,1.54,11.11,1
"133","台湾旅行酒店预订",8,10,1,0.94,10,1
"134","台湾旅游酒店预订",6,8,1,2.71,12.5,1
"135","台湾特价酒店",5,7,1,1.51,14.29,1
"136","威尼斯打折酒店",5,7,1,6.08,14.29,1
"137","威尼斯旅游 度假酒店",7,8,1,1.56,12.5,1
"138","意大利酒店网上预订",7,9,1,3.97,11.11,1
"139","意大利民宿酒店",10,10,1,3.07,10,1
"140","预订国外公寓",7,7,1,0.95,14.29,1
"141","预订济州岛民宿",6,7,1,2.6,14.29,1
"142","在线预订曼谷酒店",6,7,1,1.41,14.29,1
"143","在线预订台北酒店",4,8,1,1.94,12.5,2
"144","住百家 订房",7,9,1,2.28,11.11,1
"145","住百家民宿预订",6,8,1,3.03,12.5,1
"146","住百家微博",6,8,1,0.3,12.5,1
